RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600370524963	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600370526553	1600370526553
USER	AdvDevStudyDataLake	2	START	1600370526631	1600370526631
USER	AdvDevStudyDataLake	3	START	1600370526702	1600370526702
USER	AdvDevStudyDataLake	4	START	1600370526763	1600370526763
USER	AdvDevStudyDataLake	5	START	1600370526831	1600370526831
USER	AdvDevStudyDataLake	6	START	1600370526903	1600370526903
USER	AdvDevStudyDataLake	7	START	1600370526962	1600370526962
USER	AdvDevStudyDataLake	8	START	1600370527032	1600370527032
USER	AdvDevStudyDataLake	9	START	1600370527104	1600370527104
USER	AdvDevStudyDataLake	10	START	1600370527161	1600370527161
USER	AdvDevStudyDataLake	11	START	1600370527232	1600370527232
USER	AdvDevStudyDataLake	12	START	1600370527303	1600370527303
USER	AdvDevStudyDataLake	13	START	1600370527372	1600370527372
USER	AdvDevStudyDataLake	14	START	1600370527441	1600370527441
USER	AdvDevStudyDataLake	15	START	1600370527511	1600370527511
REQUEST	2		request_1	1600370526632	1600370527546	OK	 
USER	AdvDevStudyDataLake	2	END	1600370526631	1600370527562
REQUEST	1		request_1	1600370526580	1600370527562	OK	 
USER	AdvDevStudyDataLake	1	END	1600370526553	1600370527564
USER	AdvDevStudyDataLake	16	START	1600370527574	1600370527574
REQUEST	3		request_1	1600370526702	1600370527630	OK	 
REQUEST	4		request_1	1600370526764	1600370527630	OK	 
USER	AdvDevStudyDataLake	3	END	1600370526702	1600370527632
USER	AdvDevStudyDataLake	4	END	1600370526763	1600370527632
USER	AdvDevStudyDataLake	17	START	1600370527633	1600370527633
REQUEST	5		request_1	1600370526832	1600370527651	OK	 
USER	AdvDevStudyDataLake	5	END	1600370526831	1600370527652
USER	AdvDevStudyDataLake	18	START	1600370527693	1600370527693
REQUEST	6		request_1	1600370526904	1600370527725	OK	 
USER	AdvDevStudyDataLake	6	END	1600370526903	1600370527726
USER	AdvDevStudyDataLake	19	START	1600370527753	1600370527753
REQUEST	7		request_1	1600370526963	1600370527762	OK	 
USER	AdvDevStudyDataLake	7	END	1600370526962	1600370527763
USER	AdvDevStudyDataLake	20	START	1600370527811	1600370527811
REQUEST	8		request_1	1600370527034	1600370527839	OK	 
USER	AdvDevStudyDataLake	8	END	1600370527032	1600370527841
USER	AdvDevStudyDataLake	21	START	1600370527872	1600370527872
USER	AdvDevStudyDataLake	22	START	1600370527933	1600370527933
REQUEST	9		request_1	1600370527105	1600370527941	OK	 
USER	AdvDevStudyDataLake	9	END	1600370527104	1600370527942
REQUEST	10		request_1	1600370527162	1600370527985	OK	 
USER	AdvDevStudyDataLake	10	END	1600370527161	1600370527986
USER	AdvDevStudyDataLake	23	START	1600370527992	1600370527992
REQUEST	11		request_1	1600370527233	1600370528024	OK	 
USER	AdvDevStudyDataLake	11	END	1600370527232	1600370528025
USER	AdvDevStudyDataLake	24	START	1600370528043	1600370528043
USER	AdvDevStudyDataLake	25	START	1600370528107	1600370528107
