RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600456199669	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600456201330	1600456201330
USER	AdvDevStudyDataLake	2	START	1600456201396	1600456201396
USER	AdvDevStudyDataLake	3	START	1600456201464	1600456201464
USER	AdvDevStudyDataLake	4	START	1600456201536	1600456201536
USER	AdvDevStudyDataLake	5	START	1600456201595	1600456201595
USER	AdvDevStudyDataLake	6	START	1600456201664	1600456201664
USER	AdvDevStudyDataLake	7	START	1600456201734	1600456201734
USER	AdvDevStudyDataLake	8	START	1600456201795	1600456201795
USER	AdvDevStudyDataLake	9	START	1600456201864	1600456201864
USER	AdvDevStudyDataLake	10	START	1600456201934	1600456201934
USER	AdvDevStudyDataLake	11	START	1600456202003	1600456202003
USER	AdvDevStudyDataLake	12	START	1600456202074	1600456202074
USER	AdvDevStudyDataLake	13	START	1600456202144	1600456202144
USER	AdvDevStudyDataLake	14	START	1600456202204	1600456202204
USER	AdvDevStudyDataLake	15	START	1600456202277	1600456202277
USER	AdvDevStudyDataLake	16	START	1600456202344	1600456202344
USER	AdvDevStudyDataLake	17	START	1600456202406	1600456202406
USER	AdvDevStudyDataLake	18	START	1600456202453	1600456202453
USER	AdvDevStudyDataLake	19	START	1600456202515	1600456202515
USER	AdvDevStudyDataLake	20	START	1600456202580	1600456202580
USER	AdvDevStudyDataLake	21	START	1600456202633	1600456202633
REQUEST	1		request_1	1600456201373	1600456202619	OK	 
USER	AdvDevStudyDataLake	1	END	1600456201330	1600456202661
REQUEST	8		request_1	1600456201796	1600456202666	OK	 
USER	AdvDevStudyDataLake	8	END	1600456201795	1600456202668
USER	AdvDevStudyDataLake	22	START	1600456202694	1600456202694
REQUEST	9		request_1	1600456201865	1600456202731	OK	 
USER	AdvDevStudyDataLake	9	END	1600456201864	1600456202733
USER	AdvDevStudyDataLake	23	START	1600456202755	1600456202755
USER	AdvDevStudyDataLake	24	START	1600456202813	1600456202813
USER	AdvDevStudyDataLake	25	START	1600456202882	1600456202882
USER	AdvDevStudyDataLake	26	START	1600456202938	1600456202938
USER	AdvDevStudyDataLake	27	START	1600456202984	1600456202984
REQUEST	11		request_1	1600456202004	1600456202993	OK	 
USER	AdvDevStudyDataLake	11	END	1600456202003	1600456202995
REQUEST	12		request_1	1600456202075	1600456203004	OK	 
USER	AdvDevStudyDataLake	12	END	1600456202074	1600456203005
REQUEST	14		request_1	1600456202205	1600456203034	OK	 
USER	AdvDevStudyDataLake	14	END	1600456202204	1600456203035
USER	AdvDevStudyDataLake	28	START	1600456203044	1600456203044
USER	AdvDevStudyDataLake	29	START	1600456203111	1600456203111
USER	AdvDevStudyDataLake	30	START	1600456203164	1600456203164
USER	AdvDevStudyDataLake	31	START	1600456203227	1600456203227
USER	AdvDevStudyDataLake	32	START	1600456203284	1600456203284
REQUEST	15		request_1	1600456202278	1600456203323	OK	 
USER	AdvDevStudyDataLake	15	END	1600456202277	1600456203324
REQUEST	16		request_1	1600456202345	1600456203339	OK	 
USER	AdvDevStudyDataLake	16	END	1600456202344	1600456203340
USER	AdvDevStudyDataLake	33	START	1600456203344	1600456203344
USER	AdvDevStudyDataLake	34	START	1600456203397	1600456203397
USER	AdvDevStudyDataLake	35	START	1600456203466	1600456203466
USER	AdvDevStudyDataLake	36	START	1600456203505	1600456203505
USER	AdvDevStudyDataLake	37	START	1600456203566	1600456203566
USER	AdvDevStudyDataLake	38	START	1600456203623	1600456203623
USER	AdvDevStudyDataLake	39	START	1600456203684	1600456203684
USER	AdvDevStudyDataLake	40	START	1600456203744	1600456203744
REQUEST	17		request_1	1600456202407	1600456203751	OK	 
USER	AdvDevStudyDataLake	17	END	1600456202406	1600456203753
USER	AdvDevStudyDataLake	41	START	1600456203806	1600456203806
