RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600369241282	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600369242947	1600369242947
USER	AdvDevStudyDataLake	2	START	1600369243026	1600369243026
USER	AdvDevStudyDataLake	3	START	1600369243095	1600369243095
USER	AdvDevStudyDataLake	4	START	1600369243156	1600369243156
USER	AdvDevStudyDataLake	5	START	1600369243227	1600369243227
USER	AdvDevStudyDataLake	6	START	1600369243296	1600369243296
USER	AdvDevStudyDataLake	7	START	1600369243358	1600369243358
USER	AdvDevStudyDataLake	8	START	1600369243425	1600369243425
USER	AdvDevStudyDataLake	9	START	1600369243497	1600369243497
USER	AdvDevStudyDataLake	10	START	1600369243556	1600369243556
USER	AdvDevStudyDataLake	11	START	1600369243625	1600369243625
USER	AdvDevStudyDataLake	12	START	1600369243696	1600369243696
USER	AdvDevStudyDataLake	13	START	1600369243759	1600369243759
USER	AdvDevStudyDataLake	14	START	1600369243827	1600369243827
USER	AdvDevStudyDataLake	15	START	1600369243896	1600369243896
USER	AdvDevStudyDataLake	16	START	1600369243956	1600369243956
USER	AdvDevStudyDataLake	17	START	1600369244017	1600369244017
USER	AdvDevStudyDataLake	18	START	1600369244076	1600369244076
USER	AdvDevStudyDataLake	19	START	1600369244137	1600369244137
USER	AdvDevStudyDataLake	20	START	1600369244197	1600369244197
USER	AdvDevStudyDataLake	21	START	1600369244256	1600369244256
USER	AdvDevStudyDataLake	22	START	1600369244316	1600369244316
USER	AdvDevStudyDataLake	23	START	1600369244369	1600369244369
REQUEST	6		request_1	1600369243297	1600369244377	OK	 
USER	AdvDevStudyDataLake	6	END	1600369243296	1600369244403
USER	AdvDevStudyDataLake	24	START	1600369244426	1600369244426
REQUEST	11		request_1	1600369243626	1600369244472	OK	 
USER	AdvDevStudyDataLake	11	END	1600369243625	1600369244474
USER	AdvDevStudyDataLake	25	START	1600369244485	1600369244485
REQUEST	7		request_1	1600369243358	1600369244507	OK	 
USER	AdvDevStudyDataLake	7	END	1600369243358	1600369244508
USER	AdvDevStudyDataLake	26	START	1600369244546	1600369244546
REQUEST	12		request_1	1600369243697	1600369244606	OK	 
USER	AdvDevStudyDataLake	27	START	1600369244607	1600369244607
USER	AdvDevStudyDataLake	12	END	1600369243696	1600369244608
REQUEST	2		request_1	1600369243027	1600369244618	OK	 
USER	AdvDevStudyDataLake	2	END	1600369243026	1600369244619
REQUEST	3		request_1	1600369243096	1600369244623	OK	 
USER	AdvDevStudyDataLake	3	END	1600369243095	1600369244625
REQUEST	13		request_1	1600369243760	1600369244648	OK	 
USER	AdvDevStudyDataLake	13	END	1600369243759	1600369244649
REQUEST	1		request_1	1600369242981	1600369244662	OK	 
REQUEST	8		request_1	1600369243426	1600369244662	OK	 
USER	AdvDevStudyDataLake	8	END	1600369243425	1600369244665
USER	AdvDevStudyDataLake	1	END	1600369242947	1600369244665
USER	AdvDevStudyDataLake	28	START	1600369244666	1600369244666
REQUEST	9		request_1	1600369243498	1600369244703	OK	 
USER	AdvDevStudyDataLake	9	END	1600369243497	1600369244704
USER	AdvDevStudyDataLake	29	START	1600369244738	1600369244738
REQUEST	14		request_1	1600369243828	1600369244729	OK	 
USER	AdvDevStudyDataLake	14	END	1600369243827	1600369244741
USER	AdvDevStudyDataLake	30	START	1600369244790	1600369244790
REQUEST	5		request_1	1600369243228	1600369244806	OK	 
USER	AdvDevStudyDataLake	5	END	1600369243227	1600369244808
REQUEST	10		request_1	1600369243558	1600369244834	OK	 
REQUEST	15		request_1	1600369243897	1600369244834	OK	 
USER	AdvDevStudyDataLake	15	END	1600369243896	1600369244836
USER	AdvDevStudyDataLake	10	END	1600369243556	1600369244840
USER	AdvDevStudyDataLake	31	START	1600369244848	1600369244848
REQUEST	4		request_1	1600369243158	1600369244874	OK	 
USER	AdvDevStudyDataLake	4	END	1600369243156	1600369244876
USER	AdvDevStudyDataLake	32	START	1600369244901	1600369244901
REQUEST	17		request_1	1600369244018	1600369244940	OK	 
USER	AdvDevStudyDataLake	17	END	1600369244017	1600369244941
USER	AdvDevStudyDataLake	33	START	1600369244956	1600369244956
REQUEST	16		request_1	1600369243957	1600369244955	OK	 
USER	AdvDevStudyDataLake	16	END	1600369243956	1600369244957
REQUEST	18		request_1	1600369244077	1600369244965	OK	 
USER	AdvDevStudyDataLake	18	END	1600369244076	1600369244965
USER	AdvDevStudyDataLake	34	START	1600369245016	1600369245016
USER	AdvDevStudyDataLake	35	START	1600369245077	1600369245077
REQUEST	19		request_1	1600369244138	1600369245118	OK	 
REQUEST	20		request_1	1600369244198	1600369245118	OK	 
USER	AdvDevStudyDataLake	19	END	1600369244137	1600369245120
USER	AdvDevStudyDataLake	20	END	1600369244197	1600369245120
USER	AdvDevStudyDataLake	36	START	1600369245136	1600369245136
USER	AdvDevStudyDataLake	37	START	1600369245196	1600369245196
REQUEST	22		request_1	1600369244317	1600369245203	OK	 
REQUEST	21		request_1	1600369244257	1600369245203	OK	 
USER	AdvDevStudyDataLake	21	END	1600369244256	1600369245204
USER	AdvDevStudyDataLake	22	END	1600369244316	1600369245204
USER	AdvDevStudyDataLake	38	START	1600369245256	1600369245256
USER	AdvDevStudyDataLake	39	START	1600369245316	1600369245316
REQUEST	24		request_1	1600369244427	1600369245332	OK	 
USER	AdvDevStudyDataLake	24	END	1600369244426	1600369245333
USER	AdvDevStudyDataLake	40	START	1600369245365	1600369245365
REQUEST	25		request_1	1600369244486	1600369245368	OK	 
USER	AdvDevStudyDataLake	25	END	1600369244485	1600369245369
REQUEST	23		request_1	1600369244369	1600369245382	OK	 
USER	AdvDevStudyDataLake	23	END	1600369244369	1600369245383
USER	AdvDevStudyDataLake	41	START	1600369245427	1600369245427
REQUEST	27		request_1	1600369244607	1600369245463	OK	 
REQUEST	26		request_1	1600369244547	1600369245463	OK	 
USER	AdvDevStudyDataLake	27	END	1600369244607	1600369245464
USER	AdvDevStudyDataLake	26	END	1600369244546	1600369245465
USER	AdvDevStudyDataLake	42	START	1600369245486	1600369245486
USER	AdvDevStudyDataLake	43	START	1600369245547	1600369245547
REQUEST	28		request_1	1600369244667	1600369245564	OK	 
USER	AdvDevStudyDataLake	28	END	1600369244666	1600369245565
USER	AdvDevStudyDataLake	44	START	1600369245610	1600369245610
REQUEST	29		request_1	1600369244739	1600369245625	OK	 
USER	AdvDevStudyDataLake	29	END	1600369244738	1600369245626
REQUEST	30		request_1	1600369244791	1600369245660	OK	 
USER	AdvDevStudyDataLake	30	END	1600369244790	1600369245662
USER	AdvDevStudyDataLake	45	START	1600369245668	1600369245668
USER	AdvDevStudyDataLake	46	START	1600369245727	1600369245727
REQUEST	31		request_1	1600369244850	1600369245744	OK	 
USER	AdvDevStudyDataLake	31	END	1600369244848	1600369245745
REQUEST	32		request_1	1600369244903	1600369245750	OK	 
USER	AdvDevStudyDataLake	32	END	1600369244901	1600369245750
USER	AdvDevStudyDataLake	47	START	1600369245786	1600369245786
REQUEST	33		request_1	1600369244956	1600369245829	OK	 
USER	AdvDevStudyDataLake	33	END	1600369244956	1600369245829
USER	AdvDevStudyDataLake	48	START	1600369245847	1600369245847
REQUEST	34		request_1	1600369245016	1600369245883	OK	 
USER	AdvDevStudyDataLake	34	END	1600369245016	1600369245884
USER	AdvDevStudyDataLake	49	START	1600369245896	1600369245896
REQUEST	35		request_1	1600369245078	1600369245910	OK	 
USER	AdvDevStudyDataLake	35	END	1600369245077	1600369245911
USER	AdvDevStudyDataLake	50	START	1600369245956	1600369245956
USER	AdvDevStudyDataLake	51	START	1600369246006	1600369246006
USER	AdvDevStudyDataLake	52	START	1600369246066	1600369246066
REQUEST	36		request_1	1600369245137	1600369246068	OK	 
USER	AdvDevStudyDataLake	36	END	1600369245136	1600369246069
REQUEST	38		request_1	1600369245256	1600369246084	OK	 
USER	AdvDevStudyDataLake	38	END	1600369245256	1600369246085
USER	AdvDevStudyDataLake	53	START	1600369246116	1600369246116
REQUEST	39		request_1	1600369245316	1600369246161	OK	 
USER	AdvDevStudyDataLake	39	END	1600369245316	1600369246162
REQUEST	37		request_1	1600369245197	1600369246163	OK	 
USER	AdvDevStudyDataLake	37	END	1600369245196	1600369246163
USER	AdvDevStudyDataLake	54	START	1600369246167	1600369246167
USER	AdvDevStudyDataLake	55	START	1600369246227	1600369246227
REQUEST	40		request_1	1600369245366	1600369246250	OK	 
USER	AdvDevStudyDataLake	40	END	1600369245365	1600369246251
REQUEST	41		request_1	1600369245428	1600369246258	OK	 
