RUN	studydatalake.EnhancedJava512Api	enhancedjava512api	1596654062261	 	3.3.1
USER	Scenario Name	1	START	1596654063881	1596654063881
USER	Scenario Name	2	START	1596654063921	1596654063921
USER	Scenario Name	3	START	1596654063950	1596654063950
USER	Scenario Name	4	START	1596654063980	1596654063980
USER	Scenario Name	5	START	1596654064020	1596654064020
USER	Scenario Name	6	START	1596654064051	1596654064051
USER	Scenario Name	7	START	1596654064081	1596654064081
USER	Scenario Name	8	START	1596654064121	1596654064121
USER	Scenario Name	9	START	1596654064149	1596654064149
USER	Scenario Name	10	START	1596654064181	1596654064181
USER	Scenario Name	11	START	1596654064222	1596654064222
USER	Scenario Name	12	START	1596654064250	1596654064250
USER	Scenario Name	13	START	1596654064280	1596654064280
USER	Scenario Name	14	START	1596654064320	1596654064320
USER	Scenario Name	15	START	1596654064352	1596654064352
USER	Scenario Name	16	START	1596654064379	1596654064379
USER	Scenario Name	17	START	1596654064421	1596654064421
USER	Scenario Name	18	START	1596654064450	1596654064450
USER	Scenario Name	19	START	1596654064480	1596654064480
USER	Scenario Name	20	START	1596654064520	1596654064520
USER	Scenario Name	21	START	1596654064550	1596654064550
USER	Scenario Name	22	START	1596654064582	1596654064582
USER	Scenario Name	23	START	1596654064620	1596654064620
USER	Scenario Name	24	START	1596654064649	1596654064649
USER	Scenario Name	25	START	1596654064681	1596654064681
USER	Scenario Name	26	START	1596654064722	1596654064722
USER	Scenario Name	27	START	1596654064751	1596654064751
REQUEST	3		request_1	1596654063951	1596654064732	OK	 
REQUEST	1		request_1	1596654063921	1596654064729	OK	 
USER	Scenario Name	1	END	1596654063881	1596654064760
USER	Scenario Name	3	END	1596654063950	1596654064761
REQUEST	4		request_1	1596654063981	1596654064774	OK	 
USER	Scenario Name	4	END	1596654063980	1596654064776
REQUEST	8		request_1	1596654064123	1596654064778	OK	 
USER	Scenario Name	8	END	1596654064121	1596654064779
USER	Scenario Name	28	START	1596654064780	1596654064780
REQUEST	5		request_1	1596654064021	1596654064784	OK	 
USER	Scenario Name	5	END	1596654064020	1596654064787
REQUEST	7		request_1	1596654064081	1596654064788	OK	 
USER	Scenario Name	7	END	1596654064081	1596654064790
REQUEST	6		request_1	1596654064052	1596654064794	OK	 
USER	Scenario Name	6	END	1596654064051	1596654064795
USER	Scenario Name	29	START	1596654064820	1596654064820
REQUEST	2		request_1	1596654063921	1596654064822	OK	 
USER	Scenario Name	2	END	1596654063921	1596654064823
REQUEST	10		request_1	1596654064182	1596654064843	OK	 
USER	Scenario Name	10	END	1596654064181	1596654064846
USER	Scenario Name	30	START	1596654064851	1596654064851
USER	Scenario Name	31	START	1596654064881	1596654064881
REQUEST	11		request_1	1596654064223	1596654064884	OK	 
USER	Scenario Name	11	END	1596654064222	1596654064885
REQUEST	12		request_1	1596654064250	1596654064912	OK	 
USER	Scenario Name	12	END	1596654064250	1596654064913
USER	Scenario Name	32	START	1596654064919	1596654064919
REQUEST	9		request_1	1596654064150	1596654064924	OK	 
USER	Scenario Name	9	END	1596654064149	1596654064925
USER	Scenario Name	33	START	1596654064949	1596654064949
USER	Scenario Name	34	START	1596654064980	1596654064980
REQUEST	14		request_1	1596654064321	1596654064982	OK	 
USER	Scenario Name	14	END	1596654064320	1596654064983
REQUEST	13		request_1	1596654064281	1596654064992	OK	 
USER	Scenario Name	13	END	1596654064280	1596654064993
REQUEST	15		request_1	1596654064353	1596654065004	OK	 
USER	Scenario Name	15	END	1596654064352	1596654065005
USER	Scenario Name	35	START	1596654065012	1596654065012
USER	Scenario Name	36	START	1596654065049	1596654065049
REQUEST	16		request_1	1596654064380	1596654065050	OK	 
USER	Scenario Name	16	END	1596654064379	1596654065051
USER	Scenario Name	37	START	1596654065082	1596654065082
REQUEST	17		request_1	1596654064421	1596654065092	OK	 
USER	Scenario Name	17	END	1596654064421	1596654065094
USER	Scenario Name	38	START	1596654065109	1596654065109
REQUEST	19		request_1	1596654064480	1596654065112	OK	 
USER	Scenario Name	19	END	1596654064480	1596654065114
USER	Scenario Name	39	START	1596654065141	1596654065141
REQUEST	18		request_1	1596654064451	1596654065148	OK	 
USER	Scenario Name	18	END	1596654064450	1596654065149
REQUEST	20		request_1	1596654064522	1596654065165	OK	 
USER	Scenario Name	20	END	1596654064520	1596654065168
USER	Scenario Name	40	START	1596654065171	1596654065171
USER	Scenario Name	41	START	1596654065210	1596654065210
USER	Scenario Name	42	START	1596654065241	1596654065241
REQUEST	21		request_1	1596654064551	1596654065243	OK	 
USER	Scenario Name	21	END	1596654064550	1596654065244
REQUEST	22		request_1	1596654064583	1596654065270	OK	 
USER	Scenario Name	22	END	1596654064582	1596654065272
USER	Scenario Name	43	START	1596654065271	1596654065271
REQUEST	23		request_1	1596654064621	1596654065283	OK	 
USER	Scenario Name	23	END	1596654064620	1596654065284
USER	Scenario Name	44	START	1596654065300	1596654065300
REQUEST	25		request_1	1596654064682	1596654065326	OK	 
USER	Scenario Name	25	END	1596654064681	1596654065327
REQUEST	24		request_1	1596654064650	1596654065330	OK	 
USER	Scenario Name	24	END	1596654064649	1596654065331
USER	Scenario Name	45	START	1596654065339	1596654065339
REQUEST	26		request_1	1596654064722	1596654065371	OK	 
USER	Scenario Name	26	END	1596654064722	1596654065373
USER	Scenario Name	46	START	1596654065374	1596654065374
USER	Scenario Name	47	START	1596654065402	1596654065402
REQUEST	27		request_1	1596654064751	1596654065428	OK	 
USER	Scenario Name	27	END	1596654064751	1596654065430
USER	Scenario Name	48	START	1596654065431	1596654065431
REQUEST	28		request_1	1596654064781	1596654065435	OK	 
USER	Scenario Name	28	END	1596654064780	1596654065437
USER	Scenario Name	49	START	1596654065461	1596654065461
REQUEST	29		request_1	1596654064821	1596654065484	OK	 
USER	Scenario Name	29	END	1596654064820	1596654065485
USER	Scenario Name	50	START	1596654065500	1596654065500
REQUEST	30		request_1	1596654064852	1596654065522	OK	 
USER	Scenario Name	30	END	1596654064851	1596654065523
USER	Scenario Name	51	START	1596654065531	1596654065531
USER	Scenario Name	52	START	1596654065561	1596654065561
REQUEST	31		request_1	1596654064882	1596654065573	OK	 
USER	Scenario Name	31	END	1596654064881	1596654065574
REQUEST	32		request_1	1596654064920	1596654065582	OK	 
USER	Scenario Name	32	END	1596654064919	1596654065583
USER	Scenario Name	53	START	1596654065590	1596654065590
REQUEST	33		request_1	1596654064950	1596654065605	OK	 
USER	Scenario Name	33	END	1596654064949	1596654065606
REQUEST	35		request_1	1596654065013	1596654065623	OK	 
USER	Scenario Name	35	END	1596654065012	1596654065624
USER	Scenario Name	54	START	1596654065631	1596654065631
REQUEST	34		request_1	1596654064980	1596654065637	OK	 
USER	Scenario Name	34	END	1596654064980	1596654065638
USER	Scenario Name	55	START	1596654065661	1596654065661
REQUEST	36		request_1	1596654065050	1596654065680	OK	 
USER	Scenario Name	36	END	1596654065049	1596654065680
USER	Scenario Name	56	START	1596654065690	1596654065690
USER	Scenario Name	57	START	1596654065720	1596654065720
REQUEST	37		request_1	1596654065082	1596654065743	OK	 
USER	Scenario Name	37	END	1596654065082	1596654065744
USER	Scenario Name	58	START	1596654065751	1596654065751
REQUEST	38		request_1	1596654065110	1596654065753	OK	 
USER	Scenario Name	38	END	1596654065109	1596654065754
REQUEST	39		request_1	1596654065142	1596654065773	OK	 
USER	Scenario Name	39	END	1596654065141	1596654065774
USER	Scenario Name	59	START	1596654065791	1596654065791
USER	Scenario Name	60	START	1596654065820	1596654065820
USER	Scenario Name	61	START	1596654065852	1596654065852
REQUEST	42		request_1	1596654065241	1596654065862	OK	 
REQUEST	41		request_1	1596654065211	1596654065862	OK	 
USER	Scenario Name	41	END	1596654065210	1596654065863
USER	Scenario Name	42	END	1596654065241	1596654065863
USER	Scenario Name	62	START	1596654065881	1596654065881
USER	Scenario Name	63	START	1596654065909	1596654065909
REQUEST	43		request_1	1596654065272	1596654065913	OK	 
USER	Scenario Name	43	END	1596654065271	1596654065915
REQUEST	44		request_1	1596654065301	1596654065924	OK	 
REQUEST	40		request_1	1596654065171	1596654065924	OK	 
USER	Scenario Name	40	END	1596654065171	1596654065925
USER	Scenario Name	44	END	1596654065300	1596654065925
USER	Scenario Name	64	START	1596654065942	1596654065942
USER	Scenario Name	65	START	1596654065972	1596654065972
USER	Scenario Name	66	START	1596654066000	1596654066000
REQUEST	45		request_1	1596654065340	1596654066014	OK	 
USER	Scenario Name	45	END	1596654065339	1596654066015
REQUEST	46		request_1	1596654065375	1596654066027	OK	 
USER	Scenario Name	46	END	1596654065374	1596654066029
USER	Scenario Name	67	START	1596654066030	1596654066030
USER	Scenario Name	68	START	1596654066062	1596654066062
REQUEST	47		request_1	1596654065402	1596654066072	OK	 
USER	Scenario Name	47	END	1596654065402	1596654066073
REQUEST	48		request_1	1596654065431	1596654066085	OK	 
USER	Scenario Name	48	END	1596654065431	1596654066086
USER	Scenario Name	69	START	1596654066091	1596654066091
REQUEST	49		request_1	1596654065462	1596654066093	OK	 
USER	Scenario Name	49	END	1596654065461	1596654066094
USER	Scenario Name	70	START	1596654066121	1596654066121
USER	Scenario Name	71	START	1596654066151	1596654066151
REQUEST	51		request_1	1596654065532	1596654066180	OK	 
USER	Scenario Name	51	END	1596654065531	1596654066181
USER	Scenario Name	72	START	1596654066190	1596654066190
REQUEST	52		request_1	1596654065562	1596654066193	OK	 
USER	Scenario Name	52	END	1596654065561	1596654066193
REQUEST	50		request_1	1596654065501	1596654066202	OK	 
USER	Scenario Name	50	END	1596654065500	1596654066203
USER	Scenario Name	73	START	1596654066222	1596654066222
REQUEST	53		request_1	1596654065591	1596654066234	OK	 
USER	Scenario Name	53	END	1596654065590	1596654066235
USER	Scenario Name	74	START	1596654066251	1596654066251
REQUEST	54		request_1	1596654065632	1596654066252	OK	 
USER	Scenario Name	54	END	1596654065631	1596654066253
USER	Scenario Name	75	START	1596654066281	1596654066281
USER	Scenario Name	76	START	1596654066312	1596654066312
USER	Scenario Name	77	START	1596654066342	1596654066342
REQUEST	56		request_1	1596654065690	1596654066345	OK	 
USER	Scenario Name	56	END	1596654065690	1596654066347
REQUEST	57		request_1	1596654065721	1596654066363	OK	 
USER	Scenario Name	57	END	1596654065720	1596654066364
USER	Scenario Name	78	START	1596654066371	1596654066371
REQUEST	55		request_1	1596654065661	1596654066373	OK	 
USER	Scenario Name	55	END	1596654065661	1596654066374
USER	Scenario Name	79	START	1596654066400	1596654066400
REQUEST	58		request_1	1596654065752	1596654066406	OK	 
USER	Scenario Name	58	END	1596654065751	1596654066407
USER	Scenario Name	80	START	1596654066430	1596654066430
USER	Scenario Name	81	START	1596654066462	1596654066462
REQUEST	59		request_1	1596654065792	1596654066474	OK	 
USER	Scenario Name	59	END	1596654065791	1596654066476
USER	Scenario Name	82	START	1596654066492	1596654066492
USER	Scenario Name	83	START	1596654066521	1596654066521
REQUEST	60		request_1	1596654065821	1596654066530	OK	 
