RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600474328831	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600474330408	1600474330408
USER	AdvDevStudyDataLake	2	START	1600474330485	1600474330485
USER	AdvDevStudyDataLake	3	START	1600474330552	1600474330552
USER	AdvDevStudyDataLake	4	START	1600474330623	1600474330623
USER	AdvDevStudyDataLake	5	START	1600474330693	1600474330693
USER	AdvDevStudyDataLake	6	START	1600474330762	1600474330762
USER	AdvDevStudyDataLake	7	START	1600474330822	1600474330822
USER	AdvDevStudyDataLake	8	START	1600474330893	1600474330893
USER	AdvDevStudyDataLake	9	START	1600474330964	1600474330964
USER	AdvDevStudyDataLake	10	START	1600474331022	1600474331022
USER	AdvDevStudyDataLake	11	START	1600474331100	1600474331100
USER	AdvDevStudyDataLake	12	START	1600474331162	1600474331162
USER	AdvDevStudyDataLake	13	START	1600474331223	1600474331223
USER	AdvDevStudyDataLake	14	START	1600474331303	1600474331303
USER	AdvDevStudyDataLake	15	START	1600474331371	1600474331371
USER	AdvDevStudyDataLake	16	START	1600474331432	1600474331432
USER	AdvDevStudyDataLake	17	START	1600474331502	1600474331502
REQUEST	1		request_1	1600474330441	1600474331534	OK	 
USER	AdvDevStudyDataLake	1	END	1600474330408	1600474331560
USER	AdvDevStudyDataLake	18	START	1600474331562	1600474331562
USER	AdvDevStudyDataLake	19	START	1600474331623	1600474331623
REQUEST	5		request_1	1600474330694	1600474331647	OK	 
USER	AdvDevStudyDataLake	5	END	1600474330693	1600474331648
REQUEST	6		request_1	1600474330764	1600474331659	OK	 
USER	AdvDevStudyDataLake	6	END	1600474330762	1600474331661
USER	AdvDevStudyDataLake	20	START	1600474331682	1600474331682
REQUEST	7		request_1	1600474330823	1600474331733	OK	 
USER	AdvDevStudyDataLake	7	END	1600474330822	1600474331735
USER	AdvDevStudyDataLake	21	START	1600474331754	1600474331754
USER	AdvDevStudyDataLake	22	START	1600474331812	1600474331812
REQUEST	8		request_1	1600474330895	1600474331815	OK	 
USER	AdvDevStudyDataLake	8	END	1600474330893	1600474331817
USER	AdvDevStudyDataLake	23	START	1600474331872	1600474331872
REQUEST	9		request_1	1600474330965	1600474331880	OK	 
USER	AdvDevStudyDataLake	9	END	1600474330964	1600474331881
USER	AdvDevStudyDataLake	24	START	1600474331933	1600474331933
REQUEST	10		request_1	1600474331023	1600474331939	OK	 
USER	AdvDevStudyDataLake	10	END	1600474331022	1600474331941
USER	AdvDevStudyDataLake	25	START	1600474332002	1600474332002
REQUEST	11		request_1	1600474331101	1600474332005	OK	 
USER	AdvDevStudyDataLake	11	END	1600474331100	1600474332006
USER	AdvDevStudyDataLake	26	START	1600474332062	1600474332062
REQUEST	2		request_1	1600474330486	1600474332092	OK	 
REQUEST	12		request_1	1600474331163	1600474332092	OK	 
REQUEST	3		request_1	1600474330554	1600474332092	OK	 
USER	AdvDevStudyDataLake	3	END	1600474330552	1600474332094
USER	AdvDevStudyDataLake	2	END	1600474330485	1600474332094
USER	AdvDevStudyDataLake	12	END	1600474331162	1600474332094
USER	AdvDevStudyDataLake	27	START	1600474332122	1600474332122
USER	AdvDevStudyDataLake	28	START	1600474332183	1600474332183
REQUEST	14		request_1	1600474331303	1600474332222	OK	 
USER	AdvDevStudyDataLake	14	END	1600474331303	1600474332224
USER	AdvDevStudyDataLake	29	START	1600474332252	1600474332252
REQUEST	15		request_1	1600474331372	1600474332307	OK	 
USER	AdvDevStudyDataLake	15	END	1600474331371	1600474332308
USER	AdvDevStudyDataLake	30	START	1600474332312	1600474332312
USER	AdvDevStudyDataLake	31	START	1600474332372	1600474332372
REQUEST	17		request_1	1600474331503	1600474332406	OK	 
USER	AdvDevStudyDataLake	17	END	1600474331502	1600474332407
USER	AdvDevStudyDataLake	32	START	1600474332432	1600474332432
USER	AdvDevStudyDataLake	33	START	1600474332482	1600474332482
REQUEST	18		request_1	1600474331563	1600474332489	OK	 
USER	AdvDevStudyDataLake	18	END	1600474331562	1600474332490
USER	AdvDevStudyDataLake	34	START	1600474332543	1600474332543
USER	AdvDevStudyDataLake	35	START	1600474332607	1600474332607
REQUEST	20		request_1	1600474331682	1600474332630	OK	 
USER	AdvDevStudyDataLake	20	END	1600474331682	1600474332632
USER	AdvDevStudyDataLake	36	START	1600474332673	1600474332673
REQUEST	21		request_1	1600474331755	1600474332708	OK	 
USER	AdvDevStudyDataLake	21	END	1600474331754	1600474332709
USER	AdvDevStudyDataLake	37	START	1600474332731	1600474332731
REQUEST	22		request_1	1600474331813	1600474332750	OK	 
USER	AdvDevStudyDataLake	22	END	1600474331812	1600474332751
USER	AdvDevStudyDataLake	38	START	1600474332794	1600474332794
REQUEST	23		request_1	1600474331873	1600474332851	OK	 
USER	AdvDevStudyDataLake	23	END	1600474331872	1600474332852
USER	AdvDevStudyDataLake	39	START	1600474332852	1600474332852
USER	AdvDevStudyDataLake	40	START	1600474332922	1600474332922
REQUEST	25		request_1	1600474332003	1600474332953	OK	 
USER	AdvDevStudyDataLake	25	END	1600474332002	1600474332955
USER	AdvDevStudyDataLake	41	START	1600474332983	1600474332983
USER	AdvDevStudyDataLake	42	START	1600474333045	1600474333045
USER	AdvDevStudyDataLake	43	START	1600474333103	1600474333103
REQUEST	28		request_1	1600474332184	1600474333124	OK	 
USER	AdvDevStudyDataLake	28	END	1600474332183	1600474333125
REQUEST	27		request_1	1600474332123	1600474333146	OK	 
USER	AdvDevStudyDataLake	27	END	1600474332122	1600474333147
USER	AdvDevStudyDataLake	44	START	1600474333171	1600474333171
REQUEST	29		request_1	1600474332253	1600474333206	OK	 
USER	AdvDevStudyDataLake	29	END	1600474332252	1600474333208
REQUEST	30		request_1	1600474332313	1600474333219	OK	 
USER	AdvDevStudyDataLake	30	END	1600474332312	1600474333221
USER	AdvDevStudyDataLake	45	START	1600474333232	1600474333232
USER	AdvDevStudyDataLake	46	START	1600474333293	1600474333293
USER	AdvDevStudyDataLake	47	START	1600474333354	1600474333354
REQUEST	33		request_1	1600474332483	1600474333401	OK	 
USER	AdvDevStudyDataLake	33	END	1600474332482	1600474333402
USER	AdvDevStudyDataLake	48	START	1600474333422	1600474333422
REQUEST	31		request_1	1600474332372	1600474333451	OK	 
USER	AdvDevStudyDataLake	31	END	1600474332372	1600474333452
REQUEST	34		request_1	1600474332543	1600474333472	OK	 
USER	AdvDevStudyDataLake	34	END	1600474332543	1600474333474
USER	AdvDevStudyDataLake	49	START	1600474333482	1600474333482
USER	AdvDevStudyDataLake	50	START	1600474333532	1600474333532
REQUEST	35		request_1	1600474332608	1600474333541	OK	 
USER	AdvDevStudyDataLake	35	END	1600474332607	1600474333542
USER	AdvDevStudyDataLake	51	START	1600474333593	1600474333593
REQUEST	36		request_1	1600474332673	1600474333610	OK	 
USER	AdvDevStudyDataLake	36	END	1600474332673	1600474333611
USER	AdvDevStudyDataLake	52	START	1600474333652	1600474333652
USER	AdvDevStudyDataLake	53	START	1600474333712	1600474333712
REQUEST	38		request_1	1600474332795	1600474333722	OK	 
USER	AdvDevStudyDataLake	38	END	1600474332794	1600474333723
REQUEST	39		request_1	1600474332853	1600474333756	OK	 
USER	AdvDevStudyDataLake	39	END	1600474332852	1600474333757
USER	AdvDevStudyDataLake	54	START	1600474333774	1600474333774
USER	AdvDevStudyDataLake	55	START	1600474333831	1600474333831
USER	AdvDevStudyDataLake	56	START	1600474333893	1600474333893
REQUEST	41		request_1	1600474332984	1600474333928	OK	 
USER	AdvDevStudyDataLake	41	END	1600474332983	1600474333929
USER	AdvDevStudyDataLake	57	START	1600474333951	1600474333951
REQUEST	42		request_1	1600474333046	1600474333989	OK	 
USER	AdvDevStudyDataLake	42	END	1600474333045	1600474333990
USER	AdvDevStudyDataLake	58	START	1600474334012	1600474334012
USER	AdvDevStudyDataLake	59	START	1600474334062	1600474334062
REQUEST	43		request_1	1600474333104	1600474334072	OK	 
USER	AdvDevStudyDataLake	43	END	1600474333103	1600474334073
USER	AdvDevStudyDataLake	60	START	1600474334122	1600474334122
REQUEST	45		request_1	1600474333233	1600474334147	OK	 
REQUEST	44		request_1	1600474333172	1600474334147	OK	 
USER	AdvDevStudyDataLake	44	END	1600474333171	1600474334148
USER	AdvDevStudyDataLake	45	END	1600474333232	1600474334148
USER	AdvDevStudyDataLake	61	START	1600474334184	1600474334184
REQUEST	46		request_1	1600474333294	1600474334199	OK	 
USER	AdvDevStudyDataLake	46	END	1600474333293	1600474334200
REQUEST	19		request_1	1600474331624	1600474334234	OK	 
USER	AdvDevStudyDataLake	19	END	1600474331623	1600474334235
USER	AdvDevStudyDataLake	62	START	1600474334242	1600474334242
REQUEST	48		request_1	1600474333424	1600474334280	OK	 
USER	AdvDevStudyDataLake	48	END	1600474333422	1600474334282
REQUEST	47		request_1	1600474333354	1600474334289	OK	 
USER	AdvDevStudyDataLake	47	END	1600474333354	1600474334291
USER	AdvDevStudyDataLake	63	START	1600474334302	1600474334302
USER	AdvDevStudyDataLake	64	START	1600474334362	1600474334362
USER	AdvDevStudyDataLake	65	START	1600474334423	1600474334423
USER	AdvDevStudyDataLake	66	START	1600474334474	1600474334474
REQUEST	50		request_1	1600474333532	1600474334482	OK	 
USER	AdvDevStudyDataLake	50	END	1600474333532	1600474334483
REQUEST	49		request_1	1600474333483	1600474334488	OK	 
USER	AdvDevStudyDataLake	49	END	1600474333482	1600474334490
USER	AdvDevStudyDataLake	67	START	1600474334532	1600474334532
USER	AdvDevStudyDataLake	68	START	1600474334584	1600474334584
REQUEST	53		request_1	1600474333712	1600474334631	OK	 
USER	AdvDevStudyDataLake	53	END	1600474333712	1600474334633
USER	AdvDevStudyDataLake	69	START	1600474334643	1600474334643
REQUEST	54		request_1	1600474333774	1600474334667	OK	 
REQUEST	52		request_1	1600474333653	1600474334667	OK	 
USER	AdvDevStudyDataLake	54	END	1600474333774	1600474334668
USER	AdvDevStudyDataLake	52	END	1600474333652	1600474334669
USER	AdvDevStudyDataLake	70	START	1600474334694	1600474334694
REQUEST	51		request_1	1600474333594	1600474334730	OK	 
USER	AdvDevStudyDataLake	51	END	1600474333593	1600474334731
USER	AdvDevStudyDataLake	71	START	1600474334754	1600474334754
USER	AdvDevStudyDataLake	72	START	1600474334812	1600474334812
REQUEST	56		request_1	1600474333894	1600474334820	OK	 
USER	AdvDevStudyDataLake	56	END	1600474333893	1600474334821
REQUEST	57		request_1	1600474333952	1600474334858	OK	 
USER	AdvDevStudyDataLake	57	END	1600474333951	1600474334859
USER	AdvDevStudyDataLake	73	START	1600474334862	1600474334862
USER	AdvDevStudyDataLake	74	START	1600474334922	1600474334922
REQUEST	58		request_1	1600474334013	1600474334959	OK	 
USER	AdvDevStudyDataLake	58	END	1600474334012	1600474334961
USER	AdvDevStudyDataLake	75	START	1600474334973	1600474334973
REQUEST	59		request_1	1600474334062	1600474335005	OK	 
USER	AdvDevStudyDataLake	59	END	1600474334062	1600474335007
USER	AdvDevStudyDataLake	76	START	1600474335033	1600474335033
REQUEST	60		request_1	1600474334122	1600474335044	OK	 
USER	AdvDevStudyDataLake	60	END	1600474334122	1600474335046
USER	AdvDevStudyDataLake	77	START	1600474335082	1600474335082
REQUEST	61		request_1	1600474334184	1600474335124	OK	 
USER	AdvDevStudyDataLake	61	END	1600474334184	1600474335125
USER	AdvDevStudyDataLake	78	START	1600474335144	1600474335144
USER	AdvDevStudyDataLake	79	START	1600474335194	1600474335194
REQUEST	55		request_1	1600474333832	1600474335218	OK	 
USER	AdvDevStudyDataLake	55	END	1600474333831	1600474335219
REQUEST	62		request_1	1600474334243	1600474335226	OK	 
USER	AdvDevStudyDataLake	62	END	1600474334242	1600474335227
USER	AdvDevStudyDataLake	80	START	1600474335251	1600474335251
REQUEST	64		request_1	1600474334363	1600474335253	OK	 
USER	AdvDevStudyDataLake	64	END	1600474334362	1600474335254
USER	AdvDevStudyDataLake	81	START	1600474335312	1600474335312
REQUEST	65		request_1	1600474334423	1600474335340	OK	 
USER	AdvDevStudyDataLake	65	END	1600474334423	1600474335341
USER	AdvDevStudyDataLake	82	START	1600474335362	1600474335362
REQUEST	63		request_1	1600474334303	1600474335393	OK	 
USER	AdvDevStudyDataLake	63	END	1600474334302	1600474335394
USER	AdvDevStudyDataLake	83	START	1600474335422	1600474335422
REQUEST	66		request_1	1600474334475	1600474335429	OK	 
USER	AdvDevStudyDataLake	66	END	1600474334474	1600474335430
USER	AdvDevStudyDataLake	84	START	1600474335473	1600474335473
REQUEST	68		request_1	1600474334585	1600474335509	OK	 
USER	AdvDevStudyDataLake	68	END	1600474334584	1600474335509
USER	AdvDevStudyDataLake	85	START	1600474335522	1600474335522
REQUEST	69		request_1	1600474334645	1600474335563	OK	 
USER	AdvDevStudyDataLake	69	END	1600474334643	1600474335564
USER	AdvDevStudyDataLake	86	START	1600474335582	1600474335582
REQUEST	67		request_1	1600474334533	1600474335592	OK	 
USER	AdvDevStudyDataLake	67	END	1600474334532	1600474335593
USER	AdvDevStudyDataLake	87	START	1600474335633	1600474335633
REQUEST	71		request_1	1600474334754	1600474335675	OK	 
USER	AdvDevStudyDataLake	71	END	1600474334754	1600474335676
USER	AdvDevStudyDataLake	88	START	1600474335682	1600474335682
REQUEST	72		request_1	1600474334812	1600474335725	OK	 
USER	AdvDevStudyDataLake	72	END	1600474334812	1600474335726
USER	AdvDevStudyDataLake	89	START	1600474335732	1600474335732
REQUEST	73		request_1	1600474334863	1600474335764	OK	 
USER	AdvDevStudyDataLake	73	END	1600474334862	1600474335765
REQUEST	70		request_1	1600474334695	1600474335771	OK	 
USER	AdvDevStudyDataLake	70	END	1600474334694	1600474335772
USER	AdvDevStudyDataLake	90	START	1600474335794	1600474335794
REQUEST	74		request_1	1600474334923	1600474335827	OK	 
USER	AdvDevStudyDataLake	74	END	1600474334922	1600474335828
USER	AdvDevStudyDataLake	91	START	1600474335842	1600474335842
REQUEST	75		request_1	1600474334973	1600474335881	OK	 
USER	AdvDevStudyDataLake	75	END	1600474334973	1600474335882
USER	AdvDevStudyDataLake	92	START	1600474335892	1600474335892
USER	AdvDevStudyDataLake	93	START	1600474335942	1600474335942
REQUEST	76		request_1	1600474335034	1600474335972	OK	 
USER	AdvDevStudyDataLake	76	END	1600474335033	1600474335973
USER	AdvDevStudyDataLake	94	START	1600474336002	1600474336002
USER	AdvDevStudyDataLake	95	START	1600474336052	1600474336052
REQUEST	77		request_1	1600474335083	1600474336089	OK	 
USER	AdvDevStudyDataLake	77	END	1600474335082	1600474336090
USER	AdvDevStudyDataLake	96	START	1600474336102	1600474336102
USER	AdvDevStudyDataLake	97	START	1600474336152	1600474336152
REQUEST	80		request_1	1600474335253	1600474336177	OK	 
REQUEST	4		request_1	1600474330624	1600474336178	OK	 
USER	AdvDevStudyDataLake	4	END	1600474330623	1600474336179
USER	AdvDevStudyDataLake	80	END	1600474335251	1600474336179
REQUEST	78		request_1	1600474335145	1600474336187	OK	 
USER	AdvDevStudyDataLake	78	END	1600474335144	1600474336188
USER	AdvDevStudyDataLake	98	START	1600474336211	1600474336211
USER	AdvDevStudyDataLake	99	START	1600474336263	1600474336263
REQUEST	82		request_1	1600474335363	1600474336270	OK	 
USER	AdvDevStudyDataLake	82	END	1600474335362	1600474336271
USER	AdvDevStudyDataLake	100	START	1600474336314	1600474336314
REQUEST	81		request_1	1600474335313	1600474336315	OK	 
USER	AdvDevStudyDataLake	81	END	1600474335312	1600474336316
REQUEST	84		request_1	1600474335474	1600474336328	OK	 
USER	AdvDevStudyDataLake	84	END	1600474335473	1600474336330
USER	AdvDevStudyDataLake	101	START	1600474336372	1600474336372
REQUEST	83		request_1	1600474335424	1600474336373	OK	 
USER	AdvDevStudyDataLake	83	END	1600474335422	1600474336374
USER	AdvDevStudyDataLake	102	START	1600474336422	1600474336422
REQUEST	85		request_1	1600474335523	1600474336454	OK	 
USER	AdvDevStudyDataLake	85	END	1600474335522	1600474336455
USER	AdvDevStudyDataLake	103	START	1600474336472	1600474336472
REQUEST	86		request_1	1600474335582	1600474336500	OK	 
USER	AdvDevStudyDataLake	86	END	1600474335582	1600474336501
REQUEST	87		request_1	1600474335634	1600474336520	OK	 
USER	AdvDevStudyDataLake	87	END	1600474335633	1600474336521
USER	AdvDevStudyDataLake	104	START	1600474336522	1600474336522
USER	AdvDevStudyDataLake	105	START	1600474336582	1600474336582
USER	AdvDevStudyDataLake	106	START	1600474336632	1600474336632
REQUEST	89		request_1	1600474335732	1600474336656	OK	 
USER	AdvDevStudyDataLake	89	END	1600474335732	1600474336657
REQUEST	88		request_1	1600474335683	1600474336670	OK	 
USER	AdvDevStudyDataLake	88	END	1600474335682	1600474336671
USER	AdvDevStudyDataLake	107	START	1600474336682	1600474336682
USER	AdvDevStudyDataLake	108	START	1600474336734	1600474336734
REQUEST	91		request_1	1600474335842	1600474336749	OK	 
REQUEST	90		request_1	1600474335796	1600474336749	OK	 
USER	AdvDevStudyDataLake	90	END	1600474335794	1600474336750
USER	AdvDevStudyDataLake	91	END	1600474335842	1600474336750
USER	AdvDevStudyDataLake	109	START	1600474336793	1600474336793
USER	AdvDevStudyDataLake	110	START	1600474336844	1600474336844
REQUEST	13		request_1	1600474331224	1600474336870	OK	 
USER	AdvDevStudyDataLake	13	END	1600474331223	1600474336871
REQUEST	93		request_1	1600474335943	1600474336872	OK	 
USER	AdvDevStudyDataLake	93	END	1600474335942	1600474336874
USER	AdvDevStudyDataLake	111	START	1600474336893	1600474336893
REQUEST	92		request_1	1600474335892	1600474336897	OK	 
USER	AdvDevStudyDataLake	92	END	1600474335892	1600474336898
REQUEST	94		request_1	1600474336003	1600474336915	OK	 
USER	AdvDevStudyDataLake	94	END	1600474336002	1600474336916
USER	AdvDevStudyDataLake	112	START	1600474336944	1600474336944
REQUEST	95		request_1	1600474336053	1600474336953	OK	 
USER	AdvDevStudyDataLake	95	END	1600474336052	1600474336954
REQUEST	16		request_1	1600474331432	1600474336993	OK	 
USER	AdvDevStudyDataLake	16	END	1600474331432	1600474336993
USER	AdvDevStudyDataLake	113	START	1600474337003	1600474337003
