RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600472976124	 	3.3.1
USER	AdvDevStudyDataLake	98	START	1600472983344	1600472983344
USER	AdvDevStudyDataLake	5	END	1600472978134	1600472983348
REQUEST	2		request_1	1600472977934	1600472983375	OK	 
USER	AdvDevStudyDataLake	2	END	1600472977933	1600472983377
USER	AdvDevStudyDataLake	99	START	1600472983384	1600472983384
REQUEST	80		request_1	1600472982443	1600472983421	OK	 
USER	AdvDevStudyDataLake	80	END	1600472982443	1600472983423
USER	AdvDevStudyDataLake	100	START	1600472983434	1600472983434
REQUEST	8		request_1	1600472978335	1600472983441	OK	 
REQUEST	81		request_1	1600472982495	1600472983441	OK	 
USER	AdvDevStudyDataLake	81	END	1600472982494	1600472983442
USER	AdvDevStudyDataLake	8	END	1600472978335	1600472983442
USER	AdvDevStudyDataLake	101	START	1600472983483	1600472983483
USER	AdvDevStudyDataLake	102	START	1600472983533	1600472983533
REQUEST	3		request_1	1600472978005	1600472983545	OK	 
USER	AdvDevStudyDataLake	3	END	1600472978004	1600472983547
REQUEST	1		request_1	1600472977898	1600472983553	OK	 
USER	AdvDevStudyDataLake	1	END	1600472977853	1600472983557
REQUEST	82		request_1	1600472982545	1600472983572	OK	 
USER	AdvDevStudyDataLake	103	START	1600472983573	1600472983573
USER	AdvDevStudyDataLake	82	END	1600472982545	1600472983574
REQUEST	84		request_1	1600472982654	1600472983613	OK	 
USER	AdvDevStudyDataLake	84	END	1600472982653	1600472983614
USER	AdvDevStudyDataLake	104	START	1600472983624	1600472983624
REQUEST	85		request_1	1600472982705	1600472983640	OK	 
USER	AdvDevStudyDataLake	85	END	1600472982704	1600472983641
USER	AdvDevStudyDataLake	105	START	1600472983674	1600472983674
REQUEST	7		request_1	1600472978267	1600472983683	OK	 
USER	AdvDevStudyDataLake	7	END	1600472978266	1600472983686
REQUEST	86		request_1	1600472982755	1600472983699	OK	 
USER	AdvDevStudyDataLake	86	END	1600472982753	1600472983700
USER	AdvDevStudyDataLake	106	START	1600472983723	1600472983723
USER	AdvDevStudyDataLake	107	START	1600472983765	1600472983765
REQUEST	4		request_1	1600472978065	1600472983777	OK	 
USER	AdvDevStudyDataLake	4	END	1600472978064	1600472983778
USER	AdvDevStudyDataLake	108	START	1600472983813	1600472983813
REQUEST	87		request_1	1600472982817	1600472983826	OK	 
USER	AdvDevStudyDataLake	87	END	1600472982816	1600472983827
REQUEST	89		request_1	1600472982915	1600472983854	OK	 
USER	AdvDevStudyDataLake	89	END	1600472982914	1600472983855
USER	AdvDevStudyDataLake	109	START	1600472983862	1600472983862
USER	AdvDevStudyDataLake	110	START	1600472983913	1600472983913
REQUEST	9		request_1	1600472978408	1600472983933	OK	 
REQUEST	91		request_1	1600472983005	1600472983939	OK	 
REQUEST	88		request_1	1600472982874	1600472983934	OK	 
USER	AdvDevStudyDataLake	9	END	1600472978407	1600472983942
USER	AdvDevStudyDataLake	88	END	1600472982873	1600472983942
USER	AdvDevStudyDataLake	91	END	1600472983004	1600472983942
USER	AdvDevStudyDataLake	111	START	1600472983954	1600472983954
REQUEST	90		request_1	1600472982964	1600472983955	OK	 
USER	AdvDevStudyDataLake	90	END	1600472982963	1600472983956
REQUEST	11		request_1	1600472978534	1600472983981	OK	 
USER	AdvDevStudyDataLake	11	END	1600472978533	1600472983982
USER	AdvDevStudyDataLake	112	START	1600472984004	1600472984004
USER	AdvDevStudyDataLake	113	START	1600472984045	1600472984045
REQUEST	92		request_1	1600472983056	1600472984047	OK	 
USER	AdvDevStudyDataLake	92	END	1600472983055	1600472984048
REQUEST	93		request_1	1600472983105	1600472984087	OK	 
USER	AdvDevStudyDataLake	93	END	1600472983104	1600472984089
REQUEST	13		request_1	1600472978666	1600472984089	OK	 
REQUEST	95		request_1	1600472983196	1600472984090	OK	 
REQUEST	94		request_1	1600472983155	1600472984092	OK	 
USER	AdvDevStudyDataLake	13	END	1600472978665	1600472984091
USER	AdvDevStudyDataLake	95	END	1600472983195	1600472984091
REQUEST	16		request_1	1600472978866	1600472984093	OK	 
USER	AdvDevStudyDataLake	16	END	1600472978865	1600472984094
USER	AdvDevStudyDataLake	114	START	1600472984094	1600472984094
USER	AdvDevStudyDataLake	94	END	1600472983155	1600472984097
USER	AdvDevStudyDataLake	115	START	1600472984136	1600472984136
USER	AdvDevStudyDataLake	116	START	1600472984184	1600472984184
REQUEST	96		request_1	1600472983245	1600472984204	OK	 
USER	AdvDevStudyDataLake	96	END	1600472983244	1600472984204
REQUEST	21		request_1	1600472979165	1600472984213	OK	 
REQUEST	15		request_1	1600472978805	1600472984213	OK	 
USER	AdvDevStudyDataLake	21	END	1600472979165	1600472984214
USER	AdvDevStudyDataLake	15	END	1600472978804	1600472984214
USER	AdvDevStudyDataLake	117	START	1600472984225	1600472984225
REQUEST	22		request_1	1600472979225	1600472984245	OK	 
USER	AdvDevStudyDataLake	22	END	1600472979225	1600472984246
REQUEST	14		request_1	1600472978734	1600472984255	OK	 
USER	AdvDevStudyDataLake	14	END	1600472978733	1600472984256
USER	AdvDevStudyDataLake	118	START	1600472984274	1600472984274
REQUEST	12		request_1	1600472978604	1600472984275	OK	 
USER	AdvDevStudyDataLake	12	END	1600472978603	1600472984276
REQUEST	99		request_1	1600472983384	1600472984321	OK	 
REQUEST	97		request_1	1600472983295	1600472984321	OK	 
USER	AdvDevStudyDataLake	99	END	1600472983384	1600472984322
