RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600368856048	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600368857651	1600368857651
USER	AdvDevStudyDataLake	2	START	1600368857728	1600368857728
USER	AdvDevStudyDataLake	3	START	1600368857790	1600368857790
USER	AdvDevStudyDataLake	4	START	1600368857858	1600368857858
USER	AdvDevStudyDataLake	5	START	1600368857930	1600368857930
USER	AdvDevStudyDataLake	6	START	1600368857988	1600368857988
USER	AdvDevStudyDataLake	7	START	1600368858060	1600368858060
USER	AdvDevStudyDataLake	8	START	1600368858139	1600368858139
USER	AdvDevStudyDataLake	9	START	1600368858199	1600368858199
USER	AdvDevStudyDataLake	10	START	1600368858269	1600368858269
USER	AdvDevStudyDataLake	11	START	1600368858339	1600368858339
USER	AdvDevStudyDataLake	12	START	1600368858400	1600368858400
USER	AdvDevStudyDataLake	13	START	1600368858471	1600368858471
USER	AdvDevStudyDataLake	14	START	1600368858538	1600368858538
USER	AdvDevStudyDataLake	15	START	1600368858599	1600368858599
USER	AdvDevStudyDataLake	16	START	1600368858668	1600368858668
USER	AdvDevStudyDataLake	17	START	1600368858729	1600368858729
USER	AdvDevStudyDataLake	18	START	1600368858788	1600368858788
USER	AdvDevStudyDataLake	19	START	1600368858849	1600368858849
USER	AdvDevStudyDataLake	20	START	1600368858908	1600368858908
USER	AdvDevStudyDataLake	21	START	1600368858961	1600368858961
USER	AdvDevStudyDataLake	22	START	1600368859020	1600368859020
USER	AdvDevStudyDataLake	23	START	1600368859078	1600368859078
USER	AdvDevStudyDataLake	24	START	1600368859138	1600368859138
USER	AdvDevStudyDataLake	25	START	1600368859199	1600368859199
USER	AdvDevStudyDataLake	26	START	1600368859260	1600368859260
USER	AdvDevStudyDataLake	27	START	1600368859321	1600368859321
USER	AdvDevStudyDataLake	28	START	1600368859378	1600368859378
USER	AdvDevStudyDataLake	29	START	1600368859430	1600368859430
USER	AdvDevStudyDataLake	30	START	1600368859491	1600368859491
USER	AdvDevStudyDataLake	31	START	1600368859549	1600368859549
USER	AdvDevStudyDataLake	32	START	1600368859611	1600368859611
USER	AdvDevStudyDataLake	33	START	1600368859679	1600368859679
USER	AdvDevStudyDataLake	34	START	1600368859720	1600368859720
USER	AdvDevStudyDataLake	35	START	1600368859778	1600368859778
USER	AdvDevStudyDataLake	36	START	1600368859839	1600368859839
USER	AdvDevStudyDataLake	37	START	1600368859890	1600368859890
USER	AdvDevStudyDataLake	38	START	1600368859948	1600368859948
USER	AdvDevStudyDataLake	39	START	1600368860016	1600368860016
USER	AdvDevStudyDataLake	40	START	1600368860070	1600368860070
USER	AdvDevStudyDataLake	41	START	1600368860130	1600368860130
USER	AdvDevStudyDataLake	42	START	1600368860190	1600368860190
USER	AdvDevStudyDataLake	43	START	1600368860249	1600368860249
USER	AdvDevStudyDataLake	44	START	1600368860311	1600368860311
USER	AdvDevStudyDataLake	45	START	1600368860359	1600368860359
USER	AdvDevStudyDataLake	46	START	1600368860418	1600368860418
USER	AdvDevStudyDataLake	47	START	1600368860480	1600368860480
USER	AdvDevStudyDataLake	48	START	1600368860539	1600368860539
USER	AdvDevStudyDataLake	49	START	1600368860599	1600368860599
USER	AdvDevStudyDataLake	50	START	1600368860658	1600368860658
USER	AdvDevStudyDataLake	51	START	1600368860711	1600368860711
USER	AdvDevStudyDataLake	52	START	1600368860770	1600368860770
USER	AdvDevStudyDataLake	53	START	1600368860820	1600368860820
USER	AdvDevStudyDataLake	54	START	1600368860871	1600368860871
USER	AdvDevStudyDataLake	55	START	1600368860921	1600368860921
USER	AdvDevStudyDataLake	56	START	1600368860978	1600368860978
USER	AdvDevStudyDataLake	57	START	1600368861029	1600368861029
USER	AdvDevStudyDataLake	58	START	1600368861078	1600368861078
USER	AdvDevStudyDataLake	59	START	1600368861130	1600368861130
USER	AdvDevStudyDataLake	60	START	1600368861190	1600368861190
USER	AdvDevStudyDataLake	61	START	1600368861240	1600368861240
USER	AdvDevStudyDataLake	62	START	1600368861288	1600368861288
USER	AdvDevStudyDataLake	63	START	1600368861340	1600368861340
USER	AdvDevStudyDataLake	64	START	1600368861399	1600368861399
USER	AdvDevStudyDataLake	65	START	1600368861497	1600368861497
USER	AdvDevStudyDataLake	66	START	1600368861499	1600368861499
USER	AdvDevStudyDataLake	67	START	1600368861548	1600368861548
USER	AdvDevStudyDataLake	68	START	1600368861609	1600368861609
USER	AdvDevStudyDataLake	69	START	1600368861658	1600368861658
USER	AdvDevStudyDataLake	70	START	1600368861712	1600368861712
USER	AdvDevStudyDataLake	71	START	1600368861771	1600368861771
USER	AdvDevStudyDataLake	72	START	1600368861824	1600368861824
USER	AdvDevStudyDataLake	73	START	1600368861870	1600368861870
USER	AdvDevStudyDataLake	74	START	1600368861921	1600368861921
USER	AdvDevStudyDataLake	75	START	1600368861980	1600368861980
USER	AdvDevStudyDataLake	76	START	1600368862028	1600368862028
USER	AdvDevStudyDataLake	77	START	1600368862078	1600368862078
USER	AdvDevStudyDataLake	78	START	1600368862128	1600368862128
USER	AdvDevStudyDataLake	79	START	1600368862189	1600368862189
USER	AdvDevStudyDataLake	80	START	1600368862238	1600368862238
USER	AdvDevStudyDataLake	81	START	1600368862292	1600368862292
USER	AdvDevStudyDataLake	82	START	1600368862338	1600368862338
USER	AdvDevStudyDataLake	83	START	1600368862398	1600368862398
USER	AdvDevStudyDataLake	84	START	1600368862450	1600368862450
USER	AdvDevStudyDataLake	85	START	1600368862500	1600368862500
USER	AdvDevStudyDataLake	86	START	1600368862548	1600368862548
USER	AdvDevStudyDataLake	87	START	1600368862609	1600368862609
USER	AdvDevStudyDataLake	88	START	1600368862659	1600368862659
USER	AdvDevStudyDataLake	89	START	1600368862709	1600368862709
USER	AdvDevStudyDataLake	90	START	1600368862750	1600368862750
USER	AdvDevStudyDataLake	91	START	1600368862799	1600368862799
REQUEST	3		request_1	1600368857791	1600368862828	OK	 
USER	AdvDevStudyDataLake	3	END	1600368857790	1600368862849
USER	AdvDevStudyDataLake	92	START	1600368862849	1600368862849
REQUEST	76		request_1	1600368862029	1600368862861	OK	 
USER	AdvDevStudyDataLake	76	END	1600368862028	1600368862861
USER	AdvDevStudyDataLake	93	START	1600368862899	1600368862899
REQUEST	1		request_1	1600368857691	1600368862907	OK	 
USER	AdvDevStudyDataLake	1	END	1600368857651	1600368862908
REQUEST	2		request_1	1600368857729	1600368862929	OK	 
USER	AdvDevStudyDataLake	2	END	1600368857728	1600368862930
USER	AdvDevStudyDataLake	94	START	1600368862939	1600368862939
REQUEST	77		request_1	1600368862078	1600368862958	OK	 
USER	AdvDevStudyDataLake	77	END	1600368862078	1600368862959
REQUEST	78		request_1	1600368862129	1600368862984	OK	 
USER	AdvDevStudyDataLake	78	END	1600368862128	1600368862985
USER	AdvDevStudyDataLake	95	START	1600368862988	1600368862988
REQUEST	4		request_1	1600368857859	1600368862997	OK	 
USER	AdvDevStudyDataLake	4	END	1600368857858	1600368862998
USER	AdvDevStudyDataLake	96	START	1600368863038	1600368863038
REQUEST	79		request_1	1600368862189	1600368863057	OK	 
USER	AdvDevStudyDataLake	79	END	1600368862189	1600368863059
USER	AdvDevStudyDataLake	97	START	1600368863088	1600368863088
REQUEST	5		request_1	1600368857931	1600368863096	OK	 
REQUEST	80		request_1	1600368862238	1600368863096	OK	 
USER	AdvDevStudyDataLake	80	END	1600368862238	1600368863097
USER	AdvDevStudyDataLake	5	END	1600368857930	1600368863097
USER	AdvDevStudyDataLake	98	START	1600368863138	1600368863138
REQUEST	11		request_1	1600368858342	1600368863144	OK	 
USER	AdvDevStudyDataLake	11	END	1600368858339	1600368863145
REQUEST	7		request_1	1600368858060	1600368863150	OK	 
USER	AdvDevStudyDataLake	7	END	1600368858060	1600368863151
REQUEST	82		request_1	1600368862338	1600368863177	OK	 
USER	AdvDevStudyDataLake	82	END	1600368862338	1600368863178
USER	AdvDevStudyDataLake	99	START	1600368863179	1600368863179
REQUEST	81		request_1	1600368862293	1600368863217	OK	 
USER	AdvDevStudyDataLake	81	END	1600368862292	1600368863218
USER	AdvDevStudyDataLake	100	START	1600368863228	1600368863228
REQUEST	8		request_1	1600368858139	1600368863249	OK	 
USER	AdvDevStudyDataLake	8	END	1600368858139	1600368863250
REQUEST	84		request_1	1600368862451	1600368863262	OK	 
USER	AdvDevStudyDataLake	84	END	1600368862450	1600368863264
USER	AdvDevStudyDataLake	101	START	1600368863278	1600368863278
REQUEST	83		request_1	1600368862399	1600368863293	OK	 
USER	AdvDevStudyDataLake	83	END	1600368862398	1600368863294
USER	AdvDevStudyDataLake	102	START	1600368863328	1600368863328
REQUEST	85		request_1	1600368862500	1600368863341	OK	 
USER	AdvDevStudyDataLake	85	END	1600368862500	1600368863342
USER	AdvDevStudyDataLake	103	START	1600368863368	1600368863368
REQUEST	86		request_1	1600368862549	1600368863382	OK	 
USER	AdvDevStudyDataLake	86	END	1600368862548	1600368863383
REQUEST	9		request_1	1600368858200	1600368863384	OK	 
USER	AdvDevStudyDataLake	9	END	1600368858199	1600368863390
REQUEST	12		request_1	1600368858401	1600368863405	OK	 
USER	AdvDevStudyDataLake	12	END	1600368858400	1600368863407
REQUEST	6		request_1	1600368857989	1600368863415	OK	 
USER	AdvDevStudyDataLake	6	END	1600368857988	1600368863416
USER	AdvDevStudyDataLake	104	START	1600368863420	1600368863420
REQUEST	10		request_1	1600368858270	1600368863434	OK	 
USER	AdvDevStudyDataLake	10	END	1600368858269	1600368863435
USER	AdvDevStudyDataLake	105	START	1600368863468	1600368863468
REQUEST	87		request_1	1600368862610	1600368863475	OK	 
USER	AdvDevStudyDataLake	87	END	1600368862609	1600368863476
REQUEST	13		request_1	1600368858472	1600368863494	OK	 
