RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600371132810	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600371134371	1600371134371
USER	AdvDevStudyDataLake	2	START	1600371134450	1600371134450
USER	AdvDevStudyDataLake	3	START	1600371134518	1600371134518
USER	AdvDevStudyDataLake	4	START	1600371134578	1600371134578
USER	AdvDevStudyDataLake	5	START	1600371134649	1600371134649
USER	AdvDevStudyDataLake	6	START	1600371134719	1600371134719
USER	AdvDevStudyDataLake	7	START	1600371134795	1600371134795
USER	AdvDevStudyDataLake	8	START	1600371134852	1600371134852
USER	AdvDevStudyDataLake	9	START	1600371134918	1600371134918
USER	AdvDevStudyDataLake	10	START	1600371134980	1600371134980
USER	AdvDevStudyDataLake	11	START	1600371135050	1600371135050
USER	AdvDevStudyDataLake	12	START	1600371135118	1600371135118
USER	AdvDevStudyDataLake	13	START	1600371135179	1600371135179
USER	AdvDevStudyDataLake	14	START	1600371135249	1600371135249
USER	AdvDevStudyDataLake	15	START	1600371135318	1600371135318
USER	AdvDevStudyDataLake	16	START	1600371135378	1600371135378
USER	AdvDevStudyDataLake	17	START	1600371135439	1600371135439
USER	AdvDevStudyDataLake	18	START	1600371135500	1600371135500
USER	AdvDevStudyDataLake	19	START	1600371135558	1600371135558
USER	AdvDevStudyDataLake	20	START	1600371135627	1600371135627
USER	AdvDevStudyDataLake	21	START	1600371135679	1600371135679
USER	AdvDevStudyDataLake	22	START	1600371135764	1600371135764
USER	AdvDevStudyDataLake	23	START	1600371135803	1600371135803
USER	AdvDevStudyDataLake	24	START	1600371135849	1600371135849
USER	AdvDevStudyDataLake	25	START	1600371135908	1600371135908
USER	AdvDevStudyDataLake	26	START	1600371135968	1600371135968
USER	AdvDevStudyDataLake	27	START	1600371136028	1600371136028
USER	AdvDevStudyDataLake	28	START	1600371136092	1600371136092
USER	AdvDevStudyDataLake	29	START	1600371136173	1600371136173
USER	AdvDevStudyDataLake	30	START	1600371136208	1600371136208
USER	AdvDevStudyDataLake	31	START	1600371136268	1600371136268
USER	AdvDevStudyDataLake	32	START	1600371136329	1600371136329
USER	AdvDevStudyDataLake	33	START	1600371136381	1600371136381
USER	AdvDevStudyDataLake	34	START	1600371136438	1600371136438
USER	AdvDevStudyDataLake	35	START	1600371136499	1600371136499
USER	AdvDevStudyDataLake	36	START	1600371136558	1600371136558
USER	AdvDevStudyDataLake	37	START	1600371136619	1600371136619
USER	AdvDevStudyDataLake	38	START	1600371136678	1600371136678
USER	AdvDevStudyDataLake	39	START	1600371136729	1600371136729
USER	AdvDevStudyDataLake	40	START	1600371136795	1600371136795
USER	AdvDevStudyDataLake	41	START	1600371136854	1600371136854
USER	AdvDevStudyDataLake	42	START	1600371136908	1600371136908
USER	AdvDevStudyDataLake	43	START	1600371136973	1600371136973
USER	AdvDevStudyDataLake	44	START	1600371137034	1600371137034
USER	AdvDevStudyDataLake	45	START	1600371137091	1600371137091
USER	AdvDevStudyDataLake	46	START	1600371137149	1600371137149
USER	AdvDevStudyDataLake	47	START	1600371137202	1600371137202
USER	AdvDevStudyDataLake	48	START	1600371137259	1600371137259
USER	AdvDevStudyDataLake	49	START	1600371137320	1600371137320
USER	AdvDevStudyDataLake	50	START	1600371137379	1600371137379
USER	AdvDevStudyDataLake	51	START	1600371137439	1600371137439
USER	AdvDevStudyDataLake	52	START	1600371137492	1600371137492
USER	AdvDevStudyDataLake	53	START	1600371137539	1600371137539
USER	AdvDevStudyDataLake	54	START	1600371137588	1600371137588
USER	AdvDevStudyDataLake	55	START	1600371137649	1600371137649
USER	AdvDevStudyDataLake	56	START	1600371137699	1600371137699
USER	AdvDevStudyDataLake	57	START	1600371137750	1600371137750
USER	AdvDevStudyDataLake	58	START	1600371137808	1600371137808
