RUN	studydatalake.EnhancedJava512Api	enhancedjava512api	1596595320976	 	3.3.1
USER	Scenario Name	1	START	1596595322770	1596595322770
USER	Scenario Name	2	START	1596595322813	1596595322813
USER	Scenario Name	3	START	1596595322843	1596595322843
USER	Scenario Name	4	START	1596595322875	1596595322875
USER	Scenario Name	5	START	1596595322913	1596595322913
USER	Scenario Name	6	START	1596595322945	1596595322945
USER	Scenario Name	7	START	1596595322974	1596595322974
USER	Scenario Name	8	START	1596595323013	1596595323013
USER	Scenario Name	9	START	1596595323045	1596595323045
USER	Scenario Name	10	START	1596595323073	1596595323073
USER	Scenario Name	11	START	1596595323113	1596595323113
USER	Scenario Name	12	START	1596595323143	1596595323143
USER	Scenario Name	13	START	1596595323173	1596595323173
USER	Scenario Name	14	START	1596595323213	1596595323213
USER	Scenario Name	15	START	1596595323243	1596595323243
USER	Scenario Name	16	START	1596595323274	1596595323274
USER	Scenario Name	17	START	1596595323313	1596595323313
USER	Scenario Name	18	START	1596595323344	1596595323344
USER	Scenario Name	19	START	1596595323383	1596595323383
USER	Scenario Name	20	START	1596595323423	1596595323423
USER	Scenario Name	21	START	1596595323453	1596595323453
USER	Scenario Name	22	START	1596595323485	1596595323485
USER	Scenario Name	23	START	1596595323523	1596595323523
USER	Scenario Name	24	START	1596595323553	1596595323553
USER	Scenario Name	25	START	1596595323585	1596595323585
USER	Scenario Name	26	START	1596595323624	1596595323624
USER	Scenario Name	27	START	1596595323654	1596595323654
USER	Scenario Name	28	START	1596595323685	1596595323685
USER	Scenario Name	29	START	1596595323723	1596595323723
USER	Scenario Name	30	START	1596595323753	1596595323753
USER	Scenario Name	31	START	1596595323783	1596595323783
USER	Scenario Name	32	START	1596595323814	1596595323814
USER	Scenario Name	33	START	1596595323853	1596595323853
USER	Scenario Name	34	START	1596595323885	1596595323885
USER	Scenario Name	35	START	1596595323914	1596595323914
USER	Scenario Name	36	START	1596595323943	1596595323943
USER	Scenario Name	37	START	1596595323984	1596595323984
